Name,Disc_Dice,Cup_Dice
drishtiGS_001,0.541515,0.0
drishtiGS_003,0.86635655,0.0
drishtiGS_005,0.5408474,0.0
drishtiGS_006,0.4359483,0.0
drishtiGS_011,0.7765297,0.0
drishtiGS_014,0.70836896,0.0
drishtiGS_019,0.77414966,0.0
drishtiGS_020,0.7743476,0.0
drishtiGS_021,0.89303374,0.0
drishtiGS_023,0.0,0.0
drishtiGS_025,0.9321269,0.0
drishtiGS_027,0.55304426,0.0
drishtiGS_028,0.7301315,0.0
drishtiGS_029,0.75440586,0.0
drishtiGS_030,0.73705065,0.0
drishtiGS_034,0.60520536,0.0
drishtiGS_039,0.751035,0.0
drishtiGS_043,0.6098344,0.0
drishtiGS_048,0.8206991,0.0
drishtiGS_050,0.5272779,0.0
drishtiGS_052,0.86111134,0.0
drishtiGS_053,0.80916643,0.0
drishtiGS_054,0.80083495,0.0
drishtiGS_055,0.78985643,0.0
drishtiGS_056,0.0,0.0
drishtiGS_059,0.6710271,0.0
drishtiGS_065,0.6343264,0.0
drishtiGS_067,0.6760986,0.0
drishtiGS_070,0.63647354,0.0
drishtiGS_071,0.6329483,0.0
drishtiGS_073,0.7615546,0.0
drishtiGS_074,0.7806504,0.0
drishtiGS_077,0.78399545,0.0
drishtiGS_079,0.7878111,0.0
drishtiGS_082,0.89175844,0.0
drishtiGS_083,0.90014637,0.0
drishtiGS_086,0.73474145,0.0
drishtiGS_087,0.94721615,0.0
drishtiGS_007,0.7980787,0.0
drishtiGS_009,0.8334887,0.0
drishtiGS_013,0.72886765,0.0
drishtiGS_072,0.5712131,0.0
drishtiGS_078,0.7236535,0.0
drishtiGS_085,0.7258737,0.0
drishtiGS_091,0.6580154,0.0
drishtiGS_093,0.3881605,0.0
drishtiGS_095,0.636851,0.0
drishtiGS_096,0.5947739,0.0
drishtiGS_097,0.6504165,0.0
drishtiGS_099,0.71485627,0.0
drishtiGS_100,0.50155413,0.0
